nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,trialsTest1_1.thisRepN,trialsTest1_1.thisTrialN,trialsTest1_1.thisN,trialsTest1_1.thisIndex,trialsTest1_2.thisRepN,trialsTest1_2.thisTrialN,trialsTest1_2.thisN,trialsTest1_2.thisIndex,trialsTest1_3.thisRepN,trialsTest1_3.thisTrialN,trialsTest1_3.thisN,trialsTest1_3.thisIndex,trialsTest1_4.thisRepN,trialsTest1_4.thisTrialN,trialsTest1_4.thisN,trialsTest1_4.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_2.started,image_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_3.started,image_3.stopped,key_resp_11.keys,key_resp_11.corr,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,image_4.started,image_4.stopped,key_resp_12.keys,key_resp_12.corr,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,image_5.started,image_5.stopped,text_8.started,text_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,image_7.started,image_7.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3478347500786185,10.473426042008214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.473426042008214,None,10.83732487494126,None,space,0.29472912510391325,11.336569624952972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.648803958902135,None,,,,,11.336569624952972,None,space,0.2654772090027109,12.14413833396975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.426386208971962,None,,,,,,,,,,,12.14413833396975,None,space,0.5328415420372039,12.920232708915137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
1,0,Images/Goat 1.jpg,1,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.14439308398869,None,,,,,,,,,,,,,,,,,12.920232708915137,None,13.974339374923147,None,space,2.566921000019647,13.974339374923147,None,16.586194874951616,None,1,1,1.5374084160430357,16.586194874951616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
1,0,Images/Fire 7.jpg,2,1.7007,0.6719101083569338,0,0,0,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.489058124949224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.637306666933,None,space,4.247383375070058,18.637306666933,None,22.94837129197549,None,1,0,0.5263589160749689,22.94837129197549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
1,0,Images/Elephant 1.jpg,1,5.8272,0.37337377918824577,0,0,0,1,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,26.156400042003952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.993115124991164,None,space,1.76675933401566,23.993115124991164,None,1,1,0.33879495901055634,25.798011249979027,None,25.798011249979027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
1,0,Images/Sleepy pose 1.jpg,1,2.603,0.943587941998371,0,0,0,1,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,27.410771541995928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.654170041903853,None,space,0.3307224999880418,26.654170041903853,None,,,,,,,,1,1,0.37878766597714275,27.01929979189299,None,27.01929979189299,None,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
1,0,Images/Dirt 1.jpg,2,1.6168,0.3257823652655115,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,28.660903791897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.906644959002733,None,space,0.2888975420501083,27.906644959002733,None,,,,,,,,,,,,,,,1,0,0.4041524159256369,28.24259474989958,None,28.24259474989958,None,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
1,0,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
0,1,Images/Storage 3.jpg,1,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,7,,,,,,,39.7452003340004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.16282704193145,None,space,9.436754500027746,29.16282704193145,None,1,1.100070958957076,38.63347708398942,None,38.63347708398942,None,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
0,1,Images/Shark 7.jpg,2,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,2,,,,,,,41.362650999915786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0987199579831213,40.250571958953515,None,40.250571958953515,None,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
0,1,Images/Surprise 2.jpg,2,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,42.810600374941714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9349115409422666,41.8690871669678,None,41.8690871669678,None,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
0,1,Images/Rocks 3.jpg,1,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,9,,,,,,,44.15329891699366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8214257080107927,43.31160074996296,None,43.31160074996296,None,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
0,1,Images/Socks 1.jpg,1,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,8,,,,,,,45.481285041896626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8133458329830319,44.65712312492542,None,44.65712312492542,None,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
0,1,Images/Tiger 2.jpg,2,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,46.285669249948114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.2826347079826519,45.98884187499061,None,45.98884187499061,None,1,001,B,2022_Jun_08_2301,psychopy,2021.2.3,None,
