nRepsTask1,nRepsTask2,ImageFile,AnimateInanimate,ValenceScore,Rand,controlTaskOrder.thisRepN,controlTaskOrder.thisTrialN,controlTaskOrder.thisN,controlTaskOrder.thisIndex,part1.thisRepN,part1.thisTrialN,part1.thisN,part1.thisIndex,part2.thisRepN,part2.thisTrialN,part2.thisN,part2.thisIndex,trialsStudyImages2.thisRepN,trialsStudyImages2.thisTrialN,trialsStudyImages2.thisN,trialsStudyImages2.thisIndex,trialsTestImages2_1.thisRepN,trialsTestImages2_1.thisTrialN,trialsTestImages2_1.thisN,trialsTestImages2_1.thisIndex,trialsTestImages2_2.thisRepN,trialsTestImages2_2.thisTrialN,trialsTestImages2_2.thisN,trialsTestImages2_2.thisIndex,trialsTestImages2_3.thisRepN,trialsTestImages2_3.thisTrialN,trialsTestImages2_3.thisN,trialsTestImages2_3.thisIndex,trialsTestImages2_4.thisRepN,trialsTestImages2_4.thisTrialN,trialsTestImages2_4.thisN,trialsTestImages2_4.thisIndex,trialsStudyImages.thisRepN,trialsStudyImages.thisTrialN,trialsStudyImages.thisN,trialsStudyImages.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,WelcomeText.started,WelcomeText.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,ConsentText.started,ConsentText.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,InstructionText.started,InstructionText.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,image_7.started,image_7.stopped,text_9.started,text_9.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,key_resp_16.keys,key_resp_16.corr,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_6.started,image_6.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,key_resp_17.keys,key_resp_17.corr,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_8.started,image_8.stopped,key_resp_18.keys,key_resp_18.corr,key_resp_18.rt,key_resp_18.started,key_resp_18.stopped,image_9.started,image_9.stopped,key_resp_19.keys,key_resp_19.corr,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,image_10.started,image_10.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image.started,image.stopped,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.49050591699779034,9.260551416082308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.260551416082308,None,9.764250833075494,None,space,0.376483291038312,10.265377665986307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6460933330236,None,,,,,10.265377665986307,None,space,0.4424489999655634,11.142393207992427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.596974999993108,None,,,,,,,,,,,11.142393207992427,None,space,0.3178974579786882,12.091777791036293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Surprise 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.058612124994397,None,,,,,,,,,,,,,,,,,12.091777791036293,None,12.933483375003561,None,space,0.3090726250084117,12.933483375003561,None,1,2.768596166977659,13.282773833023384,None,13.282773833023384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Tiger 2.jpg,2,,,0,0,0,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17.226922207977623,None,,,,,,,,,,,,,,,,,,,,,,,,,1,0.6415267080301419,16.561354083009064,None,16.561354083009064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Fire 7.jpg,1,1.7007,0.2575505223871397,0,0,0,1,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,21.454415125073865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.719995332998224,None,space,3.0090971250319853,17.719995332998224,None,1,1,0.6461913329549134,20.79443800006993,None,20.79443800006993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Birthday 3.jpg,1,5.5506,0.319524409358253,0,0,0,1,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,22.32158608303871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.3593185000354424,21.95505166600924,None,21.95505166600924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Elephant 1.jpg,2,5.8272,0.727686106610318,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,24.049319333047606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.813155791023746,None,space,0.5810230830684304,22.813155791023746,None,1,0,0.6005363339791074,23.435807875008322,None,23.435807875008322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Flowers 6.jpg,1,5.9556,0.947680247901311,0,0,0,1,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,24.839453750057146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.2726441250415519,24.55259045807179,None,24.55259045807179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Sleepy pose 1.jpg,2,2.603,0.5695928638932991,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,26.097891458077356,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.33778895798605,None,space,0.2754402499413118,25.33778895798605,None,,,,,,,,1,0,0.43463683291338384,25.645579000003636,None,25.645579000003636,None,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Fireworks 2.jpg,1,6.277,0.6055150196406405,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,26.811814208049327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.1929749579867348,26.59976012504194,None,26.59976012504194,None,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Destruction 5.jpg,1,2.1143,0.8473229050515173,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,27.99299250007607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.300403458066285,None,space,0.255168667063117,27.300403458066285,None,,,,,,,,,,,,,,,1,1,0.3780992499087006,27.599098208011128,None,27.599098208011128,None,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,Images/Dirt 1.jpg,1,1.6168,0.8641851555207473,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,28.68568233307451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.17399733292404562,28.496083458070643,None,28.496083458070643,None,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
0,1,,,,,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
1,0,Images/Goat 1.jpg,1,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,29.87876445800066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.184183916077018,None,space,0.11766779201570898,29.184183916077018,None,29.3335418329807,None,1,1,0.5281152910320088,29.3335418329807,None,1,001,A,2022_Jun_08_2305,psychopy,2021.2.3,None,
